date,sku_id,units_sold,revenue,unit_price,promo_flag,year,month,category,subcategory,launch_date,unit_cost,list_price,total_cost,profit,profit_margin_pct,day_of_week,day_of_month,week_of_year,quarter,is_weekend,product_age_days,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,price_difference,discount_pct,promo_discount
2024-02-03,SKU088,15,162568.5,10837.9,0,2024,2,Electronics,Smart Lighting,2024-01-04,5042.05,10837.9,75630.75,86937.75,53.47761097629614,5,3,5,1,1,30,13.0,9.0,10.0,10.571428571428571,11.233333333333333,3.7796447300922704,0.0,0.0,0.0
2024-02-04,SKU074,13,102216.53,7862.81,0,2024,2,Bedding,Mattress Protectors,2024-01-05,3820.94,7862.81,49672.22,52544.31,51.404904862256615,6,4,5,1,1,30,12.0,15.0,12.0,12.428571428571429,12.633333333333333,1.9023794624226853,0.0,0.0,0.0
2024-02-04,SKU088,15,162568.5,10837.9,0,2024,2,Electronics,Smart Lighting,2024-01-04,5042.05,10837.9,75630.75,86937.75,53.47761097629614,6,4,5,1,1,31,15.0,17.0,14.0,11.428571428571429,11.4,4.035556254807295,0.0,0.0,0.0
2024-02-05,SKU088,9,97541.1,10837.9,0,2024,2,Electronics,Smart Lighting,2024-01-04,5042.05,10837.9,45378.450000000004,52162.65,53.47761097629614,0,5,6,1,0,32,15.0,12.0,11.0,11.142857142857142,11.433333333333334,3.625307868699861,0.0,0.0,0.0
2024-02-05,SKU074,13,102216.53,7862.81,0,2024,2,Bedding,Mattress Protectors,2024-01-05,3820.94,7862.81,49672.22,52544.31,51.404904862256615,0,5,6,1,0,31,13.0,14.0,13.0,12.142857142857142,12.666666666666666,1.573591584938889,0.0,0.0,0.0
2024-02-06,SKU088,7,75865.3,10837.9,0,2024,2,Electronics,Smart Lighting,2024-01-04,5042.05,10837.9,35294.35,40570.950000000004,53.477610976296155,1,6,6,1,0,33,9.0,10.0,26.0,10.714285714285714,11.366666666666667,3.683941988065034,0.0,0.0,0.0
2024-02-06,SKU074,8,62902.48,7862.81,0,2024,2,Bedding,Mattress Protectors,2024-01-05,3820.94,7862.81,30567.52,32334.960000000003,51.40490486225663,1,6,6,1,0,32,13.0,10.0,16.0,12.0,12.666666666666666,1.4142135623730983,0.0,0.0,0.0
2024-02-07,SKU088,9,97541.1,10837.9,0,2024,2,Electronics,Smart Lighting,2024-01-04,5042.05,10837.9,45378.450000000004,52162.65,53.47761097629614,2,7,6,1,0,34,7.0,7.0,9.0,10.285714285714286,10.733333333333333,3.946064947695179,0.0,0.0,0.0
2024-02-07,SKU074,7,55039.67,7862.81,0,2024,2,Bedding,Mattress Protectors,2024-01-05,3820.94,7862.81,26746.58,28293.089999999997,51.404904862256615,2,7,6,1,0,33,8.0,11.0,9.0,11.714285714285714,12.4,1.9760470401187105,0.0,0.0,0.0
2024-02-08,SKU088,7,75865.3,10837.9,0,2024,2,Electronics,Smart Lighting,2024-01-04,5042.05,10837.9,35294.35,40570.950000000004,53.477610976296155,3,8,6,1,0,35,9.0,6.0,9.0,10.571428571428571,10.733333333333333,3.735288603626357,0.0,0.0,0.0
