date,sku_id,units_sold,revenue,unit_price,promo_flag
2024-09-27,SKU001,8,87325.76,10915.72,0
2024-09-28,SKU001,8,87325.76,10915.72,0
2024-09-29,SKU001,7,76410.04,10915.72,0
2024-09-30,SKU001,7,76410.04,10915.72,0
2024-10-01,SKU001,6,65494.32,10915.72,0
2024-10-02,SKU001,10,109157.2,10915.72,0
2024-10-03,SKU001,12,130988.64,10915.72,0
2024-10-04,SKU001,11,120072.92,10915.72,0
2024-10-05,SKU001,11,120072.92,10915.72,0
2024-10-06,SKU001,11,120072.92,10915.72,0
2024-10-07,SKU001,8,87325.76,10915.72,0
2024-10-08,SKU001,6,65494.32,10915.72,0
2024-10-09,SKU001,6,65494.32,10915.72,0
2024-10-10,SKU001,9,98241.48,10915.72,0
2024-10-11,SKU001,9,98241.48,10915.72,0
2024-10-12,SKU001,12,130988.64,10915.72,0
2024-10-13,SKU001,14,152820.08,10915.72,0
2024-10-14,SKU001,7,76410.04,10915.72,0
2024-10-15,SKU001,7,76410.04,10915.72,0
2024-10-16,SKU001,10,109157.2,10915.72,0
2024-10-17,SKU001,7,76410.04,10915.72,0
2024-10-18,SKU001,7,76410.04,10915.72,0
2024-10-19,SKU001,12,130988.64,10915.72,0
2024-10-20,SKU001,18,171677.16,9537.62,1
2024-10-21,SKU001,11,108406.32,9855.12,1
2024-10-22,SKU001,6,60923.52,10153.92,1
2024-10-23,SKU001,13,121234.62,9325.74,1
2024-10-24,SKU001,14,143942.96,10281.64,1
2024-10-25,SKU001,17,160816.6,9459.8,1
2024-10-26,SKU001,13,124797.66,9599.82,1
2024-10-27,SKU001,21,216821.85,10324.85,1
2024-10-28,SKU001,11,106799.11,9709.01,1
2024-10-29,SKU001,12,119813.28,9984.44,1
2024-10-30,SKU001,11,104816.36,9528.76,1
2024-10-31,SKU001,12,117277.32,9773.11,1
2024-11-01,SKU001,11,105421.14,9583.74,1
2024-11-02,SKU001,22,207322.28,9423.74,1
2024-11-03,SKU001,11,113355.22,10305.02,1
2024-11-04,SKU001,17,159267.73,9368.69,1
2024-11-05,SKU001,8,79043.68,9880.46,1
2024-11-06,SKU001,8,87325.76,10915.72,0
2024-11-07,SKU001,6,65494.32,10915.72,0
2024-11-08,SKU001,9,98241.48,10915.72,0
2024-11-09,SKU001,14,152820.08,10915.72,0
2024-11-10,SKU001,11,120072.92,10915.72,0
2024-11-11,SKU001,8,87325.76,10915.72,0
2024-11-12,SKU001,9,98241.48,10915.72,0
2024-11-13,SKU001,10,109157.2,10915.72,0
2024-11-14,SKU001,6,65494.32,10915.72,0
2024-11-15,SKU001,9,98241.48,10915.72,0
2024-11-16,SKU001,9,98241.48,10915.72,0
2024-11-17,SKU001,9,98241.48,10915.72,0
2024-11-18,SKU001,8,87325.76,10915.72,0
2024-11-19,SKU001,8,87325.76,10915.72,0
2024-11-20,SKU001,15,140623.05,9374.87,1
2024-11-21,SKU001,11,109145.74,9922.34,1
2024-11-22,SKU001,7,69833.89,9976.27,1
2024-11-23,SKU001,14,143699.08,10264.22,1
2024-11-24,SKU001,17,169546.27,9973.31,1
2024-11-25,SKU001,13,121910.1,9377.7,1
2024-11-26,SKU001,14,143810.94,10272.21,1
2024-11-27,SKU001,17,167448.47,9849.91,1
2024-11-28,SKU001,15,152963.55,10197.57,1
2024-11-29,SKU001,17,158961.22,9350.66,1
2024-11-30,SKU001,16,152106.24,9506.64,1
2024-12-01,SKU001,15,144768.0,9651.2,1
2024-12-02,SKU001,7,68007.24,9715.32,1
2024-12-03,SKU001,18,170548.56,9474.92,1
2024-12-04,SKU001,11,108248.58,9840.78,1
2024-12-05,SKU001,17,168902.14,9935.42,1
2024-12-06,SKU001,11,120072.92,10915.72,0
2024-12-07,SKU001,10,109157.2,10915.72,0
2024-12-08,SKU001,11,120072.92,10915.72,0
2024-12-09,SKU001,8,87325.76,10915.72,0
2024-12-10,SKU001,6,65494.32,10915.72,0
2024-12-11,SKU001,7,76410.04,10915.72,0
2024-12-12,SKU001,9,98241.48,10915.72,0
2024-12-13,SKU001,14,152820.08,10915.72,0
2024-12-14,SKU001,11,120072.92,10915.72,0
2024-12-15,SKU001,9,98241.48,10915.72,0
2024-12-16,SKU001,8,87325.76,10915.72,0
2024-12-17,SKU001,9,98241.48,10915.72,0
2024-12-18,SKU001,8,87325.76,10915.72,0
2024-12-19,SKU001,9,98241.48,10915.72,0
2024-12-20,SKU001,12,130988.64,10915.72,0
2024-12-21,SKU001,12,130988.64,10915.72,0
2024-12-22,SKU001,10,109157.2,10915.72,0
2024-12-23,SKU001,10,109157.2,10915.72,0
2024-12-24,SKU001,7,76410.04,10915.72,0
2024-12-25,SKU001,11,120072.92,10915.72,0
2024-12-26,SKU001,9,98241.48,10915.72,0
2024-12-27,SKU001,8,87325.76,10915.72,0
2024-12-28,SKU001,6,65494.32,10915.72,0
2024-12-29,SKU001,10,109157.2,10915.72,0
2024-12-30,SKU001,11,120072.92,10915.72,0
2024-12-31,SKU001,9,98241.48,10915.72,0
2025-01-01,SKU001,4,43662.88,10915.72,0
2025-01-02,SKU001,8,87325.76,10915.72,0
2025-01-03,SKU001,6,65494.32,10915.72,0
2025-01-04,SKU001,10,109157.2,10915.72,0
2025-01-05,SKU001,8,87325.76,10915.72,0
2025-01-06,SKU001,5,54578.6,10915.72,0
2025-01-07,SKU001,7,76410.04,10915.72,0
2025-01-08,SKU001,19,207398.68,10915.72,0
2025-01-09,SKU001,9,98241.48,10915.72,0
2025-01-10,SKU001,8,87325.76,10915.72,0
2025-01-11,SKU001,6,65494.32,10915.72,0
2025-01-12,SKU001,13,141904.36,10915.72,0
2025-01-13,SKU001,8,87325.76,10915.72,0
2025-01-14,SKU001,6,65494.32,10915.72,0
2025-01-15,SKU001,7,76410.04,10915.72,0
2025-01-16,SKU001,7,76410.04,10915.72,0
2025-01-17,SKU001,9,98241.48,10915.72,0
2025-01-18,SKU001,6,65494.32,10915.72,0
2025-01-19,SKU001,12,130988.64,10915.72,0
2025-01-20,SKU001,9,98241.48,10915.72,0
2025-01-21,SKU001,10,109157.2,10915.72,0
